limited-time
---;s1;s2;s3;s0
10;2,09;5,662921348314606;2,3979591836734695;2,948453608247423
15;2,29;6,13;2,69;2,37
20;5,39;14,25;9,193877551020408;11,674157303370787
25;4,41;14,69;6,212121212121212;7,885416666666667
30;20,46938775510204;27,03;24,03;27,14666666666667
35;13,44;26,13;19,21;24,4
40;22,51578947368421;34,73;28,13131313131313;35,35294117647059
45;19,153061224489797;37,73;28,447916666666668;37,654761904761905
50;32,03157894736842;48,16923076923077;43,56842105263158;45,71621621621622
55;11,31;39,37;19,272727272727273;27,443298969072163
60;38,48979591836735;50,92;42,464646464646464;53,0
65;45,98989898989899;60,53;53,303030303030305;60,88157894736842
70;38,7;67,58823529411765;61,98795180722892;62,87777777777778
75;51,55;68,3;58,111111111111114;69,25882352941177
80;41,173469387755105;77,79452054794521;70,82022471910112;72,79268292682927
85;64,09;79,93;72,34;80,48780487804878
90;57,2020202020202;82,64;73,71717171717172;82,87654320987654
95;35,0;77,27;62,26;77,46938775510205
100;56,101010101010104;97,55319148936171;94,31506849315069;92,71428571428571
105;34,735;99,9225352112676;74,0855614973262;87,36125654450262
110;49,81;96,5;77,72;97,27835051546391
115;68,35;103,18;90,05;106,90217391304348
120;79,77777777777777;117,6268656716418;112,50617283950618;114,19753086419753
125;75,56;121,62068965517241;113,59574468085107;117,49450549450549
130;81,51515151515152;122,0;109,11;121,28235294117647
135;56,135;130,7074829931973;112,52197802197803;117,13917525773196
140;84,62;129,82;118,86;130,5632183908046
145;73,82828282828282;135,13;120,28;135,32222222222222
150;79,97979797979798;145,9090909090909;131,68965517241378;136,89361702127658
155;71,03;130,14;102,29;137,9795918367347
160;78,68367346938776;142,68;122,34;145,0531914893617
165;86,0909090909091;159,37313432835822;147,1604938271605;154,14893617021278
170;103,27;159,22;140,6;160,34408602150538
175;134,71428571428572;166,16;157,7;167,2159090909091
180;62,99;149,3;112,68686868686869;156,3877551020408
185;135,86666666666667;177,21428571428572;162,64285714285714;173,64285714285714
medium-edges
---;s1;s2;s3;s0
10;2,0;2,22;2,02;2,44
15;2,0;2,26;2,0;2,23
20;2,0;2,28;2,0;2,09
25;2,0;3,59;2,03;2,13
30;3,0;3,93;3,0;3,14
35;3,0;3,84;3,0;3,18
40;3,0;3,91;3,0;3,08
45;3,0;3,62;3,02;3,17
50;3,02;5,66;3,06;3,17
55;3,01;5,29;3,04;3,38
60;3,02;4,82;3,03;3,61
65;3,05;11,09;3,37;3,6
70;3,0;7,16;3,07;3,32
75;3,3;6,78;3,27;4,0
80;3,03;5,09;3,07;3,68
85;3,13;6,24;3,24;3,98
90;3,16;7,13;3,22;4,03
95;3,05;8,85;3,39;4,12
100;5,32;14,55;3,95;4,44
105;5,52;7,81;3,715;4,47
110;3,8;7,96;3,31;4,53
115;3,6;5,95;3,06;4,63
120;4,41;15,68;3,97;4,95
125;7,08;13,77;5,38;4,92
130;4,41;47,08;7,11;5,18
135;3,915;26,305;5,045;4,82
140;7,2;10,54;4,31;5,22
145;6,07;17,34;6,15;5,23
150;4,95;21,25;4,99;6,14
155;6,03;7,4;3,97;5,53
160;8,49;9,28;4,15;6,06
165;9,66;10,31;4,01;6,4
170;14,01;8,37;4,21;6,91
175;8,98;11,91;4,51;6,35
180;7,52;19,18;6,38;6,41
many-edges
---;s1;s2;s3;s0
10;2,0;2,0;2,0;1,97
15;2,0;2,24;2,01;2,28
20;2,0;2,54;2,02;2,24
25;2,0;2,0;2,0;2,0
30;2,27;2,98;2,41;2,61
35;2,76;5,68;2,87;3,3
40;2,79;5,47;3,02;3,75
45;2,19;7,34;2,64;3,16
50;2,52;3,75;3,0;3,37
55;3,01;4,06;3,34;3,72
60;3,02;3,98;3,1;3,59
65;3,0;6,15;3,36;3,5
70;3,14;5,64;3,48;4,07
75;3,0;5,29;3,13;3,44
80;3,12;5,89;3,29;3,86
85;3,04;13,7;3,6;3,96
90;3,08;5,19;3,7;4,21
95;3,04;6,85;4,24;4,28
100;3,1;14,2;5,02;4,13
105;3,3488372093023258;9,55813953488372;3,89922480620155;5,077519379844961
110;3,07;11,86;4,59;4,25
115;3,74;11,57;4,51;5,43
120;3,24;6,14;3,73;5,4
125;3,5;9,04;4,06;5,22
130;3,98;8,43;4,4;5,79
135;3,236111111111111;7,356643356643357;3,874125874125874;4,510489510489511
140;3,53;13,11;3,85;5,13
145;3,21;9,94;4,26;4,86
150;3,24;10,22;3,99;5,22
155;4,14;15,08;4,7;6,1
160;3,51;37,88;9,53;5,23
165;4,22;9,22;4,47;6,2
170;3,05;5,64;3,88;4,53
175;4,22;46,65;9,62;6,48
180;7,84;15,74;5,71;8,07
no-edges
---;s1;s2;s3;s0
10;3,02;3,12;3,03;4,48
15;3,0;3,28;3,02;4,67
20;3,0;3,46;3,0;3,59
25;3,0;3,48;3,0;3,48
30;3,0;3,53;3,01;3,08
35;3,0;3,38;3,0;3,04
40;3,0;3,5;3,0;3,05
45;3,02;3,5;3,0;3,02
50;3,0;3,55;3,0;3,03
55;3,16;3,59;3,0;3,07
60;3,31;3,65;3,0;3,05
65;3,66;3,62;3,0;3,11
70;4,4;3,69;3,0;3,11
75;5,16;3,66;3,0;3,12
80;6,67;3,62;3,0;3,13
85;7,45;3,61;3,0;3,15
90;9,03;3,52;3,0;3,24
95;9,01;3,72;3,0;3,32
100;11,42;3,6;3,0;3,43
105;12,52;3,695;3,0;3,58
110;13,36;3,7;3,0;3,57
115;14,14;3,76;3,0;3,78
120;15,97;3,68;3,0;4,1
125;16,94;3,7;3,0;3,95
130;18,0;3,63;3,0;4,35
135;19,265;3,73;3,0;4,505
140;20,55;3,7;3,0;4,55
145;21,01;3,69;3,0;4,73
150;23,4;3,74;3,0;5,27
155;24,3;3,66;3,0;5,37
160;25,24;3,79;3,0;5,62
165;26,55;3,71;3,0;6,02
170;27,97;3,72;3,0;6,62
175;28,48;3,7;3,0;6,22
180;30,19;3,75;3,0;6,73
