b900
---;m=1;m=2;m=3
1;0,25;0,166666666667;0,125
2;0,166666666667;0,111111111111;0,0833333333333
3;0,125;0,0833333333333;0,0625
4;0,1;0,0666666666667;0,05
5;0,0833333333333;0,0555555555556;0,0416666666667
6;0,142857142857;0,0952380952381;0,0714285714286
7;0,0625;0,0416666666667;0,03125
8;0,111111111111;0,0740740740741;0,0555555555556
9;0,05;0,0333333333333;0,025
10;0,0909090909091;0,0909090909091;0,0454545454545
11;0,0416666666667;0,0277777777778;0,0208333333333
12;0,115384615385;0,0769230769231;0,0576923076923
13;0,0714285714286;0,047619047619;0,0357142857143
14;0,1;0,0666666666667;0,05
15;0,03125;0,0208333333333;0,015625
16;0,117647058824;0,078431372549;0,0588235294118
17;0,0555555555556;0,037037037037;0,0277777777778
18;0,105263157895;0,0877192982456;0,0526315789474
19;0,025;0,0166666666667;0,0125
20;0,119047619048;0,0793650793651;0,0595238095238
21;0,0454545454545;0,030303030303;0,0227272727273
22;0,130434782609;0,101449275362;0,0652173913043
23;0,0208333333333;0,0138888888889;0,0104166666667
24;0,18;0,0933333333333;0,08
25;0,0576923076923;0,0384615384615;0,0288461538462
26;0,148148148148;0,0864197530864;0,0740740740741
27;0,0357142857143;0,0238095238095;0,0178571428571
28;0,120689655172;0,0919540229885;0,0689655172414
29;0,05;0,0333333333333;0,0333333333333
30;0,161290322581;0,0967741935484;0,0725806451613
31;0,015625;0,0104166666667;0,0078125
32;0,181818181818;0,111111111111;0,0833333333333
33;0,0588235294118;0,0392156862745;0,0294117647059
34;0,157142857143;0,114285714286;0,0785714285714
35;0,0277777777778;0,0185185185185;0,0138888888889
36;0,189189189189;0,117117117117;0,0945945945946
37;0,0526315789474;0,0614035087719;0,0460526315789
38;0,179487179487;0,0940170940171;0,0897435897436
39;0,0125;0,00833333333333;0,00625
40;0,158536585366;0,146341463415;0,103658536585
41;0,25;0,0873015873016;0,0416666666667
42;0,197674418605;0,162790697674;0,0813953488372
43;0,0227272727273;0,0151515151515;0,0113636363636
44;0,255555555556;0,140740740741;0,122222222222
45;0,141304347826;0,0724637681159;0,070652173913
46;0,244680851064;0,205673758865;0,106382978723
47;0,0104166666667;0,00694444444444;0,00520833333333
48;0,336734693878;0,156462585034;0,132653061224
49;0,1;0,06;0,065
50;0,313725490196;0,143790849673;0,68137254902
51;0,0288461538462;0,0192307692308;0,0144230769231
52;0,235849056604;0,25786163522;0,169811320755
53;0,0833333333333;0,0864197530864;0,398148148148
54;0,245454545455;0,272727272727;0,145454545455
55;0,0178571428571;0,0119047619048;0,00892857142857
56;0,280701754386;0,239766081871;0,144736842105
57;0,112068965517;0,218390804598;0,116379310345
58;0,381355932203;0,209039548023;0,487288135593
59;0,0333333333333;0,0277777777778;0,0166666666667
60;1,22950819672;0,584699453552;0,684426229508
61;0,16935483871;0,102150537634;0,217741935484
62;1,2619047619;0,809523809524;0,178571428571
63;0,015625;0,0104166666667;0,0078125
64;1,33846153846;0,825641025641;0,138461538462
65;0,977272727273;0,782828282828;0,583333333333
66;1,18656716418;0,830845771144;0,634328358209
67;0,0588235294118;0,0245098039216;0,0367647058824
68;1,13768115942;0,864734299517;0,644927536232
69;1,04285714286;0,114285714286;0,221428571429
70;1,10563380282;0,840375586854;0,267605633803
71;0,0138888888889;0,00925925925926;0,00694444444444
72;0,308219178082;0,96803652968;0,178082191781
73;1,2972972973;0,346846846847;0,0844594594595
74;0,286666666667;0,306666666667;0,753333333333
75;0,0460526315789;0,114035087719;0,0625
76;0,668831168831;0,415584415584;0,409090909091
