---;0;1;2;3
25;0,0;0,0;0,0;0,0
30;0,0;0,0;0,0;0,0
35;3,0;3,0;3,0;3,0
40;4,0;4,0;4,0;4,0
45;0,0;0,0;0,0;0,0
50;5,6;4,4;4,8;5,0
55;3,0;3,0;3,0;3,0
60;6,0;6,0;6,0;6,0
65;7,0;7,0;7,0;7,0
70;6,2;6,8;7,4;6,4
75;8,8;9,0;8,4;9,6
80;8,0;9,0;9,0;8,8
85;8,6;9,4;9,8;9,4
90;7,4;7,8;8,8;6,8
95;10,2;10,4;8,6;11,4
100;10,4;10,6;11,0;11,2
105;10,8;13,4;12,6;11,2
110;11,6;11,8;12,4;12,2
115;12,6;11,8;14,6;10,6
120;22,0;19,8;18,0;15,6
125;14,4;15,4;14,0;13,6
130;19,4;15,6;20,8;17,8
135;13,8;13,6;16,2;16,0
140;19,8;20,4;19,8;17,8
