s0
---;1;3;5;7
15;2,4975124378109452;2,4975124378109452;2,5;2,5
20;2,5;2,5;2,5;2,5
25;2,5;2,5;2,5;2,5
30;2,52;2,515;2,5;2,505
35;2,5;2,5;2,5;2,505
40;2,515;2,505;2,5;2,51
45;2,505;2,5;2,5;2,51
50;3,099009900990099;2,99009900990099;3,0;3,0
55;3,09;3,0;3,0;3,0
60;3,35;3,03;3,0;3,0
65;3,85;3,59;3,22;3,09
70;4,58;3,54;3,18;3,06
75;5,48;4,79;5,16;4,43
80;6,28;5,84;5,45;5,3
85;7,67;6,88;5,9;5,8
90;8,74;8,13;7,5;6,78
95;9,99;8,93;7,81;7,85
100;11,47;10,21;10,42;9,29
105;12,46;10,71;9,94;9,51
110;11,75;13,75;12,333333333333334;12,333333333333334
s1
---;1;3;5;7
15;2,71;2,55;2,505;2,5
20;2,83;2,6;2,53;2,5
25;3,115;3,1;2,605;2,53
30;3,19;2,72;2,655;2,565
35;3,235;3,4;3,16;2,835
40;4,215;3,15;2,675;2,605
45;3,315;2,99;2,845;2,76
50;3,55;3,45;3,28;3,32
55;3,55;3,54;3,44;3,29
60;3,57;3,51;3,54;3,37
65;3,67;3,62;3,43;3,44
70;3,63;3,63;3,51;3,42
75;3,64;3,57;3,58;3,47
80;3,53;3,57;3,51;3,33
85;3,57;3,62;3,43;3,46
90;3,62;3,58;3,53;3,32
95;3,72;3,54;3,44;3,39
100;3,6;3,56;3,54;3,52
105;3,63;3,54;3,52;3,5
110;3,6666666666666665;3,6666666666666665;3,6666666666666665;3,3333333333333335
s2
---;1;3;5;7
15;2,5;2,5;2,5;2,5
20;2,525;2,505;2,5;2,5
25;2,525;2,51;2,5;2,5
30;2,565;2,515;2,5;2,5
35;2,52;2,515;2,505;2,505
40;2,535;2,57;2,5;2,5
45;2,535;2,5;2,505;2,5
50;3,0;3,0;3,0;3,0
55;3,0;3,0;3,0;3,0
60;3,0;3,0;3,0;3,0
65;3,0;3,0;3,0;3,0
70;3,0;3,0;3,0;3,0
75;3,0;3,0;3,0;3,0
80;3,0;3,0;3,0;3,0
85;3,0;3,0;3,0;3,0
90;3,0;3,0;3,0;3,0
95;3,0;3,0;3,0;3,0
100;3,0;3,0;3,0;3,0
105;3,0;3,0;3,0;3,0
110;3,0;3,0;3,0;3,0
